中心 X,中心 Y
240621.0889,99538.5622
240621.0889,78754.5622
240621.0889,102136.5622
240621.0889,76156.5622
240621.0889,96940.5622
240621.0889,86548.5622
240621.0889,83950.5622
240621.0889,89146.5622
240621.0889,94342.5622
240621.0889,91744.5622
241371.0889,80053.5622
241371.0889,98239.5622
241371.0889,77455.5622
241371.0889,74857.5622
241371.0889,100837.5622
241371.0889,95641.5622
241371.0889,85249.5622
241371.0889,82651.5622
241371.0889,87847.5622
241371.0889,93043.5622
241371.0889,90445.5622
242121.0889,81352.5622
242121.0889,99538.5622
242121.0889,78754.5622
242121.0889,102136.5622
242121.0889,76156.5622
242121.0889,96940.5622
242121.0889,86548.5622
242121.0889,83950.5622
242121.0889,89146.5622
242121.0889,94342.5622
242121.0889,91744.5622
242871.0889,80053.5622
242871.0889,98239.5622
242871.0889,77455.5622
242871.0889,74857.5622
242871.0889,100837.5622
242871.0889,95641.5622
242871.0889,85249.5622
242871.0889,82651.5622
242871.0889,87847.5622
242871.0889,93043.5622
242871.0889,90445.5622
243621.0889,81352.5622
243621.0889,99538.5622
243621.0889,78754.5622
243621.0889,102136.5622
243621.0889,76156.5622
243621.0889,96940.5622
243621.0889,86548.5622
243621.0889,83950.5622
243621.0889,89146.5622
243621.0889,94342.5622
243621.0889,91744.5622
244371.0889,80053.5622
244371.0889,98239.5622
244371.0889,77455.5622
244371.0889,74857.5622
244371.0889,100837.5622
244371.0889,95641.5622
244371.0889,85249.5622
244371.0889,82651.5622
244371.0889,87847.5622
244371.0889,93043.5622
244371.0889,90445.5622
245121.0889,81352.5622
245121.0889,99538.5622
245121.0889,78754.5622
245121.0889,102136.5622
245121.0889,76156.5622
245121.0889,96940.5622
245121.0889,86548.5622
245121.0889,83950.5622
245121.0889,89146.5622
245121.0889,94342.5622
245121.0889,91744.5622
245871.0889,80053.5622
245871.0889,98239.5622
245871.0889,77455.5622
245871.0889,74857.5622
245871.0889,100837.5622
245871.0889,95641.5622
245871.0889,85249.5622
245871.0889,82651.5622
245871.0889,87847.5622
245871.0889,93043.5622
245871.0889,90445.5622
246621.0889,81352.5622
246621.0889,99538.5622
246621.0889,78754.5622
246621.0889,102136.5622
246621.0889,76156.5622
246621.0889,96940.5622
246621.0889,86548.5622
246621.0889,83950.5622
246621.0889,89146.5622
246621.0889,94342.5622
246621.0889,91744.5622
247371.0889,80053.5622
247371.0889,98239.5622
247371.0889,77455.5622
247371.0889,74857.5622
247371.0889,100837.5622
247371.0889,95641.5622
247371.0889,85249.5622
247371.0889,82651.5622
247371.0889,87847.5622
247371.0889,93043.5622
247371.0889,90445.5622
248121.0889,81352.5622
248121.0889,99538.5622
248121.0889,78754.5622
248121.0889,102136.5622
248121.0889,76156.5622
248121.0889,96940.5622
248121.0889,86548.5622
248121.0889,83950.5622
248121.0889,89146.5622
248121.0889,94342.5622
248121.0889,91744.5622
248871.0889,80053.5622
248871.0889,98239.5622
248871.0889,77455.5622
248871.0889,74857.5622
248871.0889,100837.5622
248871.0889,95641.5622
248871.0889,85249.5622
248871.0889,82651.5622
248871.0889,87847.5622
248871.0889,93043.5622
248871.0889,90445.5622
249621.0889,81352.5622
249621.0889,99538.5622
249621.0889,78754.5622
249621.0889,102136.5622
249621.0889,76156.5622
249621.0889,96940.5622
249621.0889,86548.5622
249621.0889,83950.5622
249621.0889,89146.5622
249621.0889,94342.5622
249621.0889,91744.5622
250371.0889,80053.5622
250371.0889,98239.5622
250371.0889,77455.5622
250371.0889,74857.5622
250371.0889,100837.5622
250371.0889,95641.5622
250371.0889,85249.5622
250371.0889,82651.5622
250371.0889,87847.5622
250371.0889,93043.5622
250371.0889,90445.5622
251121.0889,81352.5622
251121.0889,99538.5622
251121.0889,78754.5622
251121.0889,102136.5622
251121.0889,76156.5622
251121.0889,96940.5622
251121.0889,86548.5622
251121.0889,83950.5622
251121.0889,89146.5622
251121.0889,94342.5622
251121.0889,91744.5622
251871.0889,80053.5622
251871.0889,98239.5622
251871.0889,77455.5622
251871.0889,74857.5622
251871.0889,100837.5622
251871.0889,95641.5622
251871.0889,85249.5622
251871.0889,82651.5622
251871.0889,87847.5622
251871.0889,93043.5622
251871.0889,90445.5622
252621.0889,81352.5622
252621.0889,99538.5622
252621.0889,78754.5622
252621.0889,102136.5622
252621.0889,76156.5622
252621.0889,96940.5622
252621.0889,86548.5622
252621.0889,83950.5622
252621.0889,89146.5622
252621.0889,94342.5622
252621.0889,91744.5622
253371.0889,80053.5622
253371.0889,98239.5622
253371.0889,77455.5622
253371.0889,74857.5622
253371.0889,100837.5622
253371.0889,95641.5622
253371.0889,85249.5622
253371.0889,82651.5622
253371.0889,87847.5622
253371.0889,93043.5622
253371.0889,90445.5622
254121.0889,81352.5622
254121.0889,99538.5622
254121.0889,78754.5622
254121.0889,102136.5622
254121.0889,76156.5622
254121.0889,96940.5622
254121.0889,86548.5622
254121.0889,83950.5622
254121.0889,89146.5622
254121.0889,94342.5622
254121.0889,91744.5622
254871.0889,80053.5622
254871.0889,98239.5622
254871.0889,77455.5622
254871.0889,74857.5622
254871.0889,100837.5622
254871.0889,95641.5622
254871.0889,85249.5622
254871.0889,82651.5622
254871.0889,87847.5622
254871.0889,93043.5622
254871.0889,90445.5622
255621.0889,81352.5622
255621.0889,99538.5622
255621.0889,78754.5622
255621.0889,102136.5622
255621.0889,76156.5622
255621.0889,96940.5622
255621.0889,86548.5622
255621.0889,83950.5622
255621.0889,89146.5622
255621.0889,94342.5622
255621.0889,91744.5622
256371.0889,80053.5622
256371.0889,98239.5622
256371.0889,77455.5622
256371.0889,74857.5622
256371.0889,100837.5622
256371.0889,95641.5622
256371.0889,85249.5622
256371.0889,82651.5622
256371.0889,87847.5622
256371.0889,93043.5622
256371.0889,90445.5622
257121.0889,81352.5622
257121.0889,99538.5622
257121.0889,78754.5622
257121.0889,102136.5622
257121.0889,76156.5622
257121.0889,96940.5622
257121.0889,86548.5622
257121.0889,83950.5622
257121.0889,89146.5622
257121.0889,94342.5622
257121.0889,91744.5622
257871.0889,80053.5622
257871.0889,98239.5622
257871.0889,77455.5622
257871.0889,74857.5622
257871.0889,100837.5622
257871.0889,95641.5622
257871.0889,85249.5622
257871.0889,82651.5622
257871.0889,87847.5622
257871.0889,93043.5622
257871.0889,90445.5622
258621.0889,81352.5622
258621.0889,99538.5622
258621.0889,78754.5622
258621.0889,102136.5622
258621.0889,76156.5622
258621.0889,96940.5622
258621.0889,86548.5622
258621.0889,83950.5622
258621.0889,89146.5622
258621.0889,94342.5622
258621.0889,91744.5622
259371.0889,80053.5622
259371.0889,98239.5622
259371.0889,77455.5622
259371.0889,74857.5622
259371.0889,100837.5622
259371.0889,95641.5622
259371.0889,85249.5622
259371.0889,82651.5622
259371.0889,87847.5622
259371.0889,93043.5622
259371.0889,90445.5622
260121.0889,81352.5622
260121.0889,99538.5622
260121.0889,78754.5622
260121.0889,102136.5622
260121.0889,76156.5622
260121.0889,96940.5622
260121.0889,86548.5622
260121.0889,83950.5622
260121.0889,89146.5622
260121.0889,94342.5622
260121.0889,91744.5622
260871.0889,80053.5622
260871.0889,98239.5622
260871.0889,77455.5622
260871.0889,74857.5622
260871.0889,100837.5622
260871.0889,95641.5622
260871.0889,85249.5622
260871.0889,82651.5622
260871.0889,87847.5622
260871.0889,93043.5622
260871.0889,90445.5622
261621.0889,81352.5622
261621.0889,99538.5622
261621.0889,78754.5622
261621.0889,102136.5622
261621.0889,76156.5622
261621.0889,96940.5622
261621.0889,86548.5622
261621.0889,83950.5622
261621.0889,89146.5622
261621.0889,94342.5622
261621.0889,91744.5622
262371.0889,80053.5622
262371.0889,98239.5622
262371.0889,77455.5622
262371.0889,74857.5622
262371.0889,100837.5622
262371.0889,95641.5622
262371.0889,85249.5622
262371.0889,82651.5622
262371.0889,87847.5622
262371.0889,93043.5622
262371.0889,90445.5622
263121.0889,81352.5622
263121.0889,99538.5622
263121.0889,76156.5622
263121.0889,78754.5622
263121.0889,102136.5622
263121.0889,96940.5622
263121.0889,86548.5622
263121.0889,83950.5622
263121.0889,89146.5622
263121.0889,94342.5622
263121.0889,91744.5622
263871.0889,80053.5622
263871.0889,98239.5622
263871.0889,77455.5622
263871.0889,74857.5622
263871.0889,100837.5622
263871.0889,95641.5622
263871.0889,85249.5622
263871.0889,82651.5622
263871.0889,87847.5622
263871.0889,93043.5622
263871.0889,90445.5622
264621.0889,81352.5622
264621.0889,99538.5622
264621.0889,78754.5622
264621.0889,102136.5622
264621.0889,76156.5622
264621.0889,96940.5622
264621.0889,86548.5622
264621.0889,83950.5622
264621.0889,89146.5622
264621.0889,94342.5622
264621.0889,91744.5622
265371.0889,80053.5622
265371.0889,98239.5622
265371.0889,77455.5622
265371.0889,74857.5622
265371.0889,100837.5622
265371.0889,95641.5622
265371.0889,85249.5622
265371.0889,82651.5622
265371.0889,87847.5622
265371.0889,93043.5622
265371.0889,90445.5622
270124.0602,104347.2871
